City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,ulladulla,-35.35,150.4667,9.68,65,23,1.81,AU,1726240976
350,quesada,10.3238,-84.4271,25.93,78,95,2.19,CR,1726240977
351,neiafu,-18.65,-173.9833,23.38,88,40,2.57,TO,1726240978
352,boquete,8.7833,-82.4333,23.89,65,28,0.89,PA,1726240979
353,rio gallegos,-51.6226,-69.2181,7.03,49,20,20.06,AR,1726240908
354,illizi,26.4833,8.4667,37.5,23,88,4.25,DZ,1726240981
355,borogontsy,62.6683,131.1683,1.04,77,8,4.43,RU,1726240982
356,yendi,9.4427,-0.0099,23.17,97,100,3.45,GH,1726240983
357,altai,46.3722,96.2583,9.28,53,30,2.74,MN,1726240984
358,al bayda',32.7627,21.7551,26.9,33,15,4.9,LY,1726240985
359,west mackay,-21.1481,149.1605,19.97,80,0,7.91,AU,1726240986
360,vilhena,-12.7406,-60.1458,33.12,46,34,3.6,BR,1726240987
361,taguatinga,-12.3857,-46.5711,35.39,19,2,3.85,BR,1726240988
362,kertih,4.5141,103.4483,24.01,94,100,0.0,MY,1726240991
